operation,data_type,thread,iteration,vec_length,buffer_size,latency,correct
MATVEC,uint32_t,1,2048,32,8,38.632333,True
MATVEC,uint32_t,1,2048,32,16,34.926,True
MATVEC,uint32_t,1,2048,32,32,33.167667,True
MATVEC,uint32_t,1,2048,64,8,75.496,True
MATVEC,uint32_t,1,2048,64,16,68.122,True
MATVEC,uint32_t,1,2048,64,32,64.547333,True
MATVEC,uint32_t,1,2048,64,64,62.83,True
MATVEC,uint32_t,1,2048,128,8,149.139667,True
MATVEC,uint32_t,1,2048,128,16,134.566667,True
MATVEC,uint32_t,1,2048,128,32,128.178667,True
MATVEC,uint32_t,1,2048,128,64,124.154667,True
MATVEC,uint32_t,1,2048,128,128,122.141333,True
MATVEC,uint32_t,1,2048,256,8,296.368,True
MATVEC,uint32_t,1,2048,256,16,267.397667,True
MATVEC,uint32_t,1,2048,256,32,255.751667,True
MATVEC,uint32_t,1,2048,256,64,246.254667,True
MATVEC,uint32_t,1,2048,256,128,242.570667,True
MATVEC,uint32_t,1,2048,256,256,240.752667,True
MATVEC,uint32_t,1,2048,512,8,591.141,True
MATVEC,uint32_t,1,2048,512,16,532.954667,True
MATVEC,uint32_t,1,2048,512,32,508.229333,True
MATVEC,uint32_t,1,2048,512,64,490.954667,True
MATVEC,uint32_t,1,2048,512,128,483.346667,True
MATVEC,uint32_t,1,2048,512,256,480.449,True
MATVEC,uint32_t,1,2048,1024,8,1180.917667,True
MATVEC,uint32_t,1,2048,1024,16,1064.099333,True
MATVEC,uint32_t,1,2048,1024,32,1013.932,True
MATVEC,uint32_t,1,2048,1024,64,979.804333,True
MATVEC,uint32_t,1,2048,1024,128,964.851667,True
MATVEC,uint32_t,1,2048,1024,256,958.481,True
MATVEC,uint32_t,1,2048,2048,8,2359.340667,True
MATVEC,uint32_t,1,2048,2048,16,2126.766667,True
MATVEC,uint32_t,1,2048,2048,32,2025.716333,True
MATVEC,uint32_t,1,2048,2048,64,1957.984667,True
MATVEC,uint32_t,1,2048,2048,128,1927.813667,True
MATVEC,uint32_t,1,2048,2048,256,1915.036667,True
MATVEC,uint32_t,1,2048,4096,8,4716.748333,True
MATVEC,uint32_t,1,2048,4096,16,4252.157667,True
MATVEC,uint32_t,1,2048,4096,32,4047.721333,True
MATVEC,uint32_t,1,2048,4096,64,3911.986333,True
MATVEC,uint32_t,1,2048,4096,128,3850.579667,True
MATVEC,uint32_t,1,2048,4096,256,3827.236,True
MATVEC,uint32_t,1,2048,8192,8,NA,False
MATVEC,uint32_t,1,2048,8192,16,NA,False
MATVEC,uint32_t,1,2048,8192,32,NA,False
MATVEC,uint32_t,1,2048,8192,64,NA,False
MATVEC,uint32_t,1,2048,8192,128,NA,False
MATVEC,uint32_t,1,2048,8192,256,NA,False
MATVEC,uint32_t,1,4096,16,8,40.095333,True
MATVEC,uint32_t,1,4096,16,16,36.613667,True
MATVEC,uint32_t,1,4096,32,8,77.219333,True
MATVEC,uint32_t,1,4096,32,16,69.790333,True
MATVEC,uint32_t,1,4096,32,32,66.227667,True
MATVEC,uint32_t,1,4096,64,8,150.872,True
MATVEC,uint32_t,1,4096,64,16,136.193333,True
MATVEC,uint32_t,1,4096,64,32,129.055667,True
MATVEC,uint32_t,1,4096,64,64,125.602333,True
MATVEC,uint32_t,1,4096,128,8,298.221333,True
MATVEC,uint32_t,1,4096,128,16,269.112,True
MATVEC,uint32_t,1,4096,128,32,256.287667,True
MATVEC,uint32_t,1,4096,128,64,248.267,True
MATVEC,uint32_t,1,4096,128,128,244.192667,True
MATVEC,uint32_t,1,4096,256,8,592.74,True
MATVEC,uint32_t,1,4096,256,16,534.679333,True
MATVEC,uint32_t,1,4096,256,32,508.893,True
MATVEC,uint32_t,1,4096,256,64,491.712,True
MATVEC,uint32_t,1,4096,256,128,484.530333,True
MATVEC,uint32_t,1,4096,256,256,480.608333,True
MATVEC,uint32_t,1,4096,512,8,1177.890333,True
MATVEC,uint32_t,1,4096,512,16,1066.025667,True
MATVEC,uint32_t,1,4096,512,32,1015.957667,True
MATVEC,uint32_t,1,4096,512,64,981.860667,True
MATVEC,uint32_t,1,4096,512,128,966.506,True
MATVEC,uint32_t,1,4096,512,256,978.521667,True
MATVEC,uint32_t,1,4096,1024,8,2363.119,True
MATVEC,uint32_t,1,4096,1024,16,2128.772,True
MATVEC,uint32_t,1,4096,1024,32,2026.452667,True
MATVEC,uint32_t,1,4096,1024,64,1959.708333,True
MATVEC,uint32_t,1,4096,1024,128,1929.674,True
MATVEC,uint32_t,1,4096,1024,256,1916.429333,True
MATVEC,uint32_t,1,4096,2048,8,4718.191333,True
MATVEC,uint32_t,1,4096,2048,16,4253.851667,True
MATVEC,uint32_t,1,4096,2048,32,4049.106333,True
MATVEC,uint32_t,1,4096,2048,64,3915.156,True
MATVEC,uint32_t,1,4096,2048,128,3854.028333,True
MATVEC,uint32_t,1,4096,2048,256,3828.555333,True
MATVEC,uint32_t,1,4096,4096,8,NA,False
MATVEC,uint32_t,1,4096,4096,16,NA,False
MATVEC,uint32_t,1,4096,4096,32,NA,False
MATVEC,uint32_t,1,4096,4096,64,NA,False
MATVEC,uint32_t,1,4096,4096,128,NA,False
MATVEC,uint32_t,1,4096,4096,256,NA,False
MATVEC,uint32_t,1,4096,8192,8,NA,False
MATVEC,uint32_t,1,4096,8192,16,NA,False
MATVEC,uint32_t,1,4096,8192,32,NA,False
MATVEC,uint32_t,1,4096,8192,64,NA,False
MATVEC,uint32_t,1,4096,8192,128,NA,False
MATVEC,uint32_t,1,4096,8192,256,NA,False
MATVEC,uint32_t,1,8192,16,8,80.189333,True
MATVEC,uint32_t,1,8192,16,16,73.204,True
MATVEC,uint32_t,1,8192,32,8,154.314667,True
MATVEC,uint32_t,1,8192,32,16,139.524333,True
MATVEC,uint32_t,1,8192,32,32,132.453667,True
MATVEC,uint32_t,1,8192,64,8,302.744333,True
MATVEC,uint32_t,1,8192,64,16,272.348333,True
MATVEC,uint32_t,1,8192,64,32,258.036333,True
MATVEC,uint32_t,1,8192,64,64,251.079333,True
MATVEC,uint32_t,1,8192,128,8,596.006,True
MATVEC,uint32_t,1,8192,128,16,539.235,True
MATVEC,uint32_t,1,8192,128,32,512.525,True
MATVEC,uint32_t,1,8192,128,64,496.354667,True
MATVEC,uint32_t,1,8192,128,128,488.197,True
MATVEC,uint32_t,1,8192,256,8,1184.816,True
MATVEC,uint32_t,1,8192,256,16,1068.934333,True
MATVEC,uint32_t,1,8192,256,32,1021.185667,True
MATVEC,uint32_t,1,8192,256,64,984.421667,True
MATVEC,uint32_t,1,8192,256,128,969.807333,True
