operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint32_t,16,256,16,1.790333,True
ADD,uint32_t,8,32768,32,NA,False
ADD,uint32_t,16,256,32,2.891333,True
ADD,uint32_t,8,32768,8,98.073667,True
ADD,uint32_t,16,256,64,5.540333,True
ADD,uint32_t,16,512,8,2.684667,True
ADD,uint32_t,16,512,16,3.504333,True
ADD,uint32_t,16,256,128,10.795667,True
ADD,uint32_t,16,512,32,5.723667,True
ADD,uint32_t,16,512,64,10.984,True
ADD,uint32_t,8,16384,32,133.812,True
ADD,uint32_t,16,256,256,21.345,True
ADD,uint32_t,16,1024,8,5.291333,True
ADD,uint32_t,16,1024,16,6.915,True
ADD,uint32_t,16,512,128,21.496,True
ADD,uint32_t,16,1024,32,11.363333,True
ADD,uint32_t,16,2048,8,10.518333,True
ADD,uint32_t,8,32768,16,146.390333,True
ADD,uint32_t,16,1024,64,21.882667,True
ADD,uint32_t,16,2048,16,13.771333,True
ADD,uint32_t,16,512,256,42.549,True
ADD,uint32_t,16,2048,32,22.644,True
ADD,uint32_t,16,1024,128,42.916667,True
ADD,uint32_t,16,4096,8,20.925667,True
ADD,uint32_t,16,2048,256,NA,False
ADD,uint32_t,16,4096,16,27.460667,True
ADD,uint32_t,16,2048,64,43.669333,True
ADD,uint32_t,16,4096,128,NA,False
ADD,uint32_t,16,4096,256,NA,False
ADD,uint32_t,16,1024,256,84.978333,True
ADD,uint32_t,16,4096,32,45.193667,True
ADD,uint32_t,16,8192,8,41.774667,True
ADD,uint32_t,16,8192,256,NA,False
ADD,uint32_t,16,2048,128,85.713,True
ADD,uint32_t,16,8192,16,54.848,True
ADD,uint32_t,16,8192,128,NA,False
ADD,uint32_t,16,8192,64,NA,False
ADD,uint32_t,16,16384,128,NA,False
ADD,uint32_t,16,4096,64,87.288333,True
ADD,uint32_t,16,16384,256,NA,False
ADD,uint32_t,16,16384,32,NA,False
ADD,uint32_t,16,16384,64,NA,False
ADD,uint32_t,16,32768,64,NA,False
ADD,uint32_t,16,16384,8,83.432667,True
ADD,uint64_t,1,256,8,0.921667,True
ADD,uint32_t,16,32768,128,NA,False
ADD,uint32_t,16,32768,16,NA,False
ADD,uint32_t,16,32768,32,NA,False
ADD,uint64_t,1,256,16,1.610667,True
ADD,uint32_t,16,8192,32,90.348,True
ADD,uint64_t,1,256,32,3.043333,True
ADD,uint32_t,16,32768,256,NA,False
ADD,uint64_t,1,256,64,5.77,True
ADD,uint64_t,1,256,128,11.363,True
ADD,uint64_t,1,512,8,1.803333,True
ADD,uint64_t,1,512,16,3.174,True
ADD,uint64_t,1,256,256,22.472333,True
ADD,uint64_t,1,512,32,6.045667,True
ADD,uint64_t,1,512,64,11.495333,True
ADD,uint64_t,1,1024,8,3.559667,True
ADD,uint64_t,1,1024,16,6.295667,True
ADD,uint64_t,1,512,128,22.59,True
