data_type,thread,iteration,buffer_size,latency,correct
uint32_t,4,4096,32,110.072,True
uint32_t,4,2048,128,217.176667,True
uint32_t,2,16384,64,872.192333,True
uint32_t,4,8192,16,112.186,True
uint32_t,4,4096,64,218.136,True
uint32_t,4,16384,8,115.463333,True
uint32_t,4,8192,32,219.959,True
uint32_t,4,16384,16,224.265667,True
uint32_t,4,4096,128,434.289,True
uint32_t,8,128,8,0.996333,True
uint32_t,8,128,16,1.851,True
uint32_t,8,128,32,3.534667,True
uint32_t,8,128,64,6.905333,True
uint32_t,4,8192,64,436.247333,True
uint32_t,8,128,128,13.658,True
uint32_t,8,256,8,1.902,True
uint32_t,8,256,16,3.598,True
uint32_t,8,256,32,6.970667,True
uint32_t,8,256,64,13.720667,True
uint32_t,8,256,128,27.241667,True
uint32_t,8,512,8,3.701,True
uint32_t,4,16384,32,439.970333,True
uint32_t,8,512,16,7.109,True
uint32_t,8,512,32,13.844,True
uint32_t,8,1024,8,7.299333,True
uint32_t,8,512,64,27.370667,True
uint32_t,8,1024,16,14.124667,True
uint32_t,8,512,128,54.367667,True
uint32_t,8,1024,32,27.595333,True
uint32_t,8,2048,8,14.534,True
uint32_t,8,1024,64,54.618333,True
uint32_t,2,16384,128,1736.862667,True
uint32_t,8,2048,16,28.126667,True
uint32_t,8,1024,128,108.665,True
uint32_t,8,2048,32,55.087333,True
uint32_t,8,4096,8,28.976333,True
uint32_t,4,8192,128,868.403333,True
uint32_t,8,2048,64,109.160667,True
uint32_t,8,4096,16,56.148333,True
uint32_t,8,4096,32,110.118333,True
uint32_t,8,8192,8,57.85,True
uint32_t,4,16384,64,872.139667,True
uint32_t,8,2048,128,217.229,True
uint32_t,8,8192,16,112.207,True
uint32_t,8,4096,64,218.132,True
uint32_t,8,16384,8,115.541,True
uint32_t,8,8192,32,220.081,True
uint32_t,8,4096,128,434.215,True
uint32_t,8,16384,16,224.294,True
uint32_t,16,128,8,1.401,True
uint32_t,16,128,16,2.627333,True
uint32_t,16,128,32,5.069,True
uint32_t,16,128,64,9.937667,True
uint32_t,8,8192,64,436.212,True
uint32_t,8,16384,128,NA,False
uint32_t,16,256,8,2.693333,True
uint32_t,16,128,128,19.690333,True
uint32_t,16,256,16,5.137333,True
uint32_t,16,256,32,10.016,True
uint32_t,16,256,64,19.768667,True
uint32_t,16,512,8,5.269333,True
uint32_t,16,256,128,39.285667,True
uint32_t,16,512,16,10.137667,True
uint32_t,8,16384,32,440.068333,True
uint32_t,16,512,32,19.901333,True
uint32_t,16,1024,8,10.393667,True
uint32_t,16,1024,16,20.164333,True
uint32_t,16,512,64,39.424,True
uint32_t,16,1024,32,39.672667,True
uint32_t,16,512,128,78.433,True
uint32_t,16,2048,8,20.687,True
uint32_t,16,1024,64,78.702667,True
uint32_t,16,2048,16,40.204,True
uint32_t,4,16384,128,1736.852667,True
uint32_t,16,2048,32,79.231667,True
uint32_t,16,1024,128,156.776333,True
uint32_t,16,4096,8,41.245333,True
uint32_t,16,2048,64,157.259667,True
uint32_t,16,4096,16,80.281,True
uint32_t,8,8192,128,868.406333,True
uint32_t,16,4096,32,158.304667,True
uint32_t,16,8192,8,82.343667,True
uint32_t,8,16384,64,872.218333,True
uint32_t,16,2048,128,313.377,True
uint32_t,16,8192,16,160.401333,True
uint32_t,16,4096,64,314.420333,True
uint32_t,16,8192,128,NA,False
uint32_t,16,16384,128,NA,False
uint32_t,16,8192,32,316.51,True
uint32_t,16,16384,8,164.568667,True
uint64_t,1,128,8,4.740667,True
uint64_t,1,128,16,9.424,True
uint64_t,1,128,32,18.53,True
uint64_t,1,128,64,36.884667,True
uint64_t,1,256,8,9.405,True
uint32_t,16,16384,64,NA,False
uint64_t,1,128,128,73.631,True
uint64_t,1,256,16,18.592,True
uint64_t,1,256,32,36.960667,True
uint64_t,1,512,8,18.693667,True
uint32_t,16,16384,16,320.753667,True
uint64_t,1,256,64,73.683333,True
uint64_t,1,512,16,37.085,True
uint64_t,1,256,128,147.143,True
uint32_t,16,4096,128,626.674667,True
uint64_t,1,512,32,73.804333,True
uint64_t,1,1024,8,37.299,True
