operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,256,512,64,61.397000,61.247681,-0.24
MATVEC,uint32_t,1,256,512,128,60.440000,60.382893,-0.09
MATVEC,uint32_t,1,256,512,256,60.075667,59.995594,-0.13
MATVEC,uint32_t,1,256,1024,8,147.637667,145.459337,-1.48
MATVEC,uint32_t,1,256,1024,16,133.070667,132.853750,-0.16
MATVEC,uint32_t,1,256,1024,32,126.655333,125.684701,-0.77
MATVEC,uint32_t,1,256,1024,64,122.518000,122.233610,-0.23
MATVEC,uint32_t,1,256,1024,128,120.654000,120.504566,-0.12
MATVEC,uint32_t,1,256,1024,256,119.843000,119.730195,-0.09
MATVEC,uint32_t,1,256,2048,8,294.830333,290.649664,-1.42
MATVEC,uint32_t,1,256,2048,16,265.874333,265.442441,-0.16
MATVEC,uint32_t,1,256,2048,32,253.122333,251.106562,-0.80
MATVEC,uint32_t,1,256,2048,64,244.764667,244.205468,-0.23
MATVEC,uint32_t,1,256,2048,128,241.002333,240.747912,-0.11
MATVEC,uint32_t,1,256,2048,256,239.418667,239.199397,-0.09
MATVEC,uint32_t,1,256,4096,8,589.723333,581.030317,-1.47
MATVEC,uint32_t,1,256,4096,16,531.500667,530.619821,-0.17
MATVEC,uint32_t,1,256,4096,32,505.902000,501.950283,-0.78
MATVEC,uint32_t,1,256,4096,64,489.312000,488.149185,-0.24
MATVEC,uint32_t,1,256,4096,128,481.768000,481.234605,-0.11
MATVEC,uint32_t,1,256,4096,256,478.590667,478.137802,-0.09
MATVEC,uint32_t,1,256,8192,8,1179.486667,1161.791625,-1.50
MATVEC,uint32_t,1,256,8192,16,1062.710333,1060.974582,-0.16
MATVEC,uint32_t,1,256,8192,32,1011.466667,1003.637725,-0.77
MATVEC,uint32_t,1,256,8192,64,978.485667,976.036618,-0.25
MATVEC,uint32_t,1,256,8192,128,963.340333,962.207990,-0.12
MATVEC,uint32_t,1,256,8192,256,956.998667,956.014611,-0.10
MATVEC,uint32_t,1,512,16,8,5.064000,5.009206,-1.08
MATVEC,uint32_t,1,512,16,16,4.625667,4.607506,-0.39
MATVEC,uint32_t,1,512,32,8,9.702333,9.546404,-1.61
MATVEC,uint32_t,1,512,32,16,8.775333,8.750902,-0.28
MATVEC,uint32_t,1,512,32,32,8.332333,8.298537,-0.41
MATVEC,uint32_t,1,512,64,8,18.914667,18.620800,-1.55
MATVEC,uint32_t,1,512,64,16,17.079667,17.037696,-0.25
MATVEC,uint32_t,1,512,64,32,16.188333,16.137403,-0.31
MATVEC,uint32_t,1,512,64,64,15.758000,15.703974,-0.34
MATVEC,uint32_t,1,512,128,8,37.337000,36.769590,-1.52
MATVEC,uint32_t,1,512,128,16,33.699000,33.611282,-0.26
MATVEC,uint32_t,1,512,128,32,32.090333,31.815136,-0.86
MATVEC,uint32_t,1,512,128,64,31.284333,30.950457,-1.07
MATVEC,uint32_t,1,512,128,128,30.586333,30.517265,-0.23
MATVEC,uint32_t,1,512,256,8,74.137333,73.067172,-1.44
MATVEC,uint32_t,1,512,256,16,66.877000,66.758454,-0.18
MATVEC,uint32_t,1,512,256,32,64.034000,63.170601,-1.35
MATVEC,uint32_t,1,512,256,64,61.609000,61.443421,-0.27
MATVEC,uint32_t,1,512,256,128,60.692000,60.578851,-0.19
MATVEC,uint32_t,1,512,256,256,60.236667,60.190576,-0.08
MATVEC,uint32_t,1,512,512,8,147.850667,145.662336,-1.48
