operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,64,16,512,8,333.348000,302.167771,-9.35
MATMUL,uint32_t,1,64,16,512,16,308.583333,286.858093,-7.04
MATMUL,uint32_t,1,64,32,16,4,24.163667,21.151890,-12.46
MATMUL,uint32_t,1,64,32,16,8,20.660667,18.780416,-9.10
MATMUL,uint32_t,1,64,32,16,16,19.163667,17.843382,-6.89
MATMUL,uint32_t,1,64,32,32,4,48.220667,42.227712,-12.43
MATMUL,uint32_t,1,64,32,32,8,41.202000,37.484763,-9.02
MATMUL,uint32_t,1,64,32,32,16,38.252667,35.610697,-6.91
MATMUL,uint32_t,1,64,32,32,32,36.960333,34.615808,-6.34
MATMUL,uint32_t,1,32,512,512,4,6065.879333,5343.064301,-11.92
MATMUL,uint32_t,1,64,32,64,4,96.404333,84.379355,-12.47
MATMUL,uint32_t,1,64,32,64,8,82.318000,74.893458,-9.02
MATMUL,uint32_t,1,64,32,64,16,76.441333,71.145325,-6.93
MATMUL,uint32_t,1,64,32,64,32,73.822333,69.155547,-6.32
MATMUL,uint32_t,1,32,512,512,64,4613.617333,4328.107465,-6.19
MATMUL,uint32_t,1,64,32,128,8,164.481667,149.710848,-8.98
MATMUL,uint32_t,1,64,32,128,4,192.611000,168.682642,-12.42
MATMUL,uint32_t,1,32,512,512,32,4683.903000,4386.196132,-6.36
MATMUL,uint32_t,1,32,512,512,8,5195.469000,4746.051821,-8.65
MATMUL,uint32_t,1,32,512,512,128,4574.570333,4299.509376,-6.01
MATMUL,uint32_t,1,32,512,512,256,4556.988333,4286.786102,-5.93
MATMUL,uint32_t,1,32,512,512,16,4836.995333,4510.928548,-6.74
MATMUL,uint32_t,1,64,32,128,32,147.556000,138.235026,-6.32
MATMUL,uint32_t,1,64,32,128,16,152.782000,142.214582,-6.92
MATMUL,uint32_t,1,64,32,256,8,328.888000,299.345627,-8.98
MATMUL,uint32_t,1,64,32,256,16,305.442000,284.353097,-6.90
MATMUL,uint32_t,1,64,32,256,4,384.787333,337.289216,-12.34
MATMUL,uint32_t,1,64,32,256,32,295.113333,276.393984,-6.34
MATMUL,uint32_t,1,64,64,16,8,40.929000,37.308379,-8.85
MATMUL,uint32_t,1,64,64,16,4,47.909333,42.009307,-12.31
MATMUL,uint32_t,1,64,64,16,16,38.063333,35.454134,-6.85
MATMUL,uint32_t,1,64,64,32,4,95.714667,83.942546,-12.30
MATMUL,uint32_t,1,64,64,32,16,76.011333,70.832201,-6.81
MATMUL,uint32_t,1,64,64,32,8,81.777000,74.540690,-8.85
MATMUL,uint32_t,1,64,64,32,32,73.515667,68.864201,-6.33
MATMUL,uint32_t,1,64,32,512,32,589.962000,552.711899,-6.31
MATMUL,uint32_t,1,64,32,512,16,610.677333,568.630125,-6.89
