operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,1024,8192,128,3849.058667,3825.421644,-0.61
MATVEC,uint32_t,1,1024,8192,256,3827.321000,3811.977401,-0.40
MATVEC,uint32_t,1,2048,16,8,20.068333,17.249319,-14.05
MATVEC,uint32_t,1,2048,16,16,18.344333,16.382137,-10.70
MATVEC,uint32_t,1,2048,32,8,38.632333,33.982064,-12.04
MATVEC,uint32_t,1,2048,32,16,34.926000,32.247701,-7.67
MATVEC,uint32_t,1,2048,32,32,33.167667,31.164016,-6.04
MATVEC,uint32_t,1,2048,64,8,75.496000,67.447554,-10.66
MATVEC,uint32_t,1,2048,64,16,68.122000,63.978828,-6.08
MATVEC,uint32_t,1,2048,64,32,64.547333,61.811458,-4.24
MATVEC,uint32_t,1,2048,64,64,62.830000,60.794480,-3.24
MATVEC,uint32_t,1,2048,128,8,149.139667,134.378535,-9.90
MATVEC,uint32_t,1,2048,128,16,134.566667,127.441081,-5.30
MATVEC,uint32_t,1,2048,128,32,128.178667,123.106343,-3.96
MATVEC,uint32_t,1,2048,128,64,124.154667,121.072386,-2.48
MATVEC,uint32_t,1,2048,128,128,122.141333,120.051897,-1.71
MATVEC,uint32_t,1,2048,256,8,296.368000,268.240496,-9.49
MATVEC,uint32_t,1,2048,256,16,267.397667,254.365589,-4.87
MATVEC,uint32_t,1,2048,256,32,255.751667,245.696112,-3.93
MATVEC,uint32_t,1,2048,256,64,246.254667,241.628199,-1.88
MATVEC,uint32_t,1,2048,256,128,242.570667,239.587221,-1.23
MATVEC,uint32_t,1,2048,256,256,240.752667,238.746956,-0.83
MATVEC,uint32_t,1,2048,512,8,591.141000,535.964418,-9.33
MATVEC,uint32_t,1,2048,512,16,532.954667,508.214604,-4.64
MATVEC,uint32_t,1,2048,512,32,508.229333,490.875650,-3.41
MATVEC,uint32_t,1,2048,512,64,490.954667,482.739824,-1.67
MATVEC,uint32_t,1,2048,512,128,483.346667,478.657868,-0.97
MATVEC,uint32_t,1,2048,512,256,480.449000,476.977337,-0.72
MATVEC,uint32_t,1,2048,1024,8,1180.917667,1071.412263,-9.27
MATVEC,uint32_t,1,2048,1024,16,1064.099333,1015.912633,-4.53
MATVEC,uint32_t,1,2048,1024,32,1013.932000,981.234727,-3.22
MATVEC,uint32_t,1,2048,1024,64,979.804333,964.963074,-1.51
MATVEC,uint32_t,1,2048,1024,128,964.851667,956.799161,-0.83
MATVEC,uint32_t,1,2048,1024,256,958.481000,953.438101,-0.53
MATVEC,uint32_t,1,2048,2048,8,2359.340667,2142.307952,-9.20
MATVEC,uint32_t,1,2048,2048,16,2126.766667,2031.308693,-4.49
MATVEC,uint32_t,1,2048,2048,32,2025.716333,1961.952880,-3.15
MATVEC,uint32_t,1,2048,2048,64,1957.984667,1929.409575,-1.46
