data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint32_t,16,2048,128,313.377000,311.107718,-0.72
uint32_t,16,8192,16,160.401333,158.537483,-1.16
uint32_t,16,4096,64,314.420333,311.336097,-0.98
uint32_t,16,8192,32,316.510000,311.188187,-1.68
uint32_t,16,16384,8,164.568667,161.322776,-1.97
uint64_t,1,128,8,4.740667,4.612734,-2.70
uint64_t,1,128,16,9.424000,9.097525,-3.46
uint64_t,1,128,32,18.530000,18.069192,-2.49
uint64_t,1,128,64,36.884667,36.012414,-2.36
uint64_t,1,256,8,9.405000,9.157539,-2.63
uint64_t,1,128,128,73.631000,71.904492,-2.34
uint64_t,1,256,16,18.592000,18.127121,-2.50
uint64_t,1,256,32,36.960667,36.070453,-2.41
uint64_t,1,512,8,18.693667,18.247148,-2.39
uint32_t,16,16384,16,320.753667,316.975600,-1.18
uint64_t,1,256,64,73.683333,71.956899,-2.34
uint64_t,1,512,16,37.085000,36.186312,-2.42
uint64_t,1,256,128,147.143000,143.741054,-2.31
uint32_t,16,4096,128,626.674667,622.102246,-0.73
uint64_t,1,512,32,73.804333,72.072977,-2.35
uint64_t,1,1024,8,37.299000,36.426366,-2.34
uint64_t,1,512,64,147.235000,143.845868,-2.30
uint64_t,1,1024,16,74.034667,72.304693,-2.34
uint64_t,1,1024,32,147.477000,144.078024,-2.30
uint64_t,1,2048,8,74.486333,72.784803,-2.28
uint32_t,16,8192,64,628.758667,622.570236,-0.98
uint64_t,1,512,128,294.153000,287.414179,-2.29
uint64_t,1,2048,16,148.007000,144.541457,-2.34
uint64_t,1,1024,64,294.431000,287.623806,-2.31
uint32_t,16,16384,32,632.841333,622.265092,-1.67
uint64_t,1,4096,8,148.834333,145.501676,-2.24
uint64_t,1,2048,32,294.876000,288.088117,-2.30
uint64_t,1,1024,128,588.102333,574.760428,-2.27
uint64_t,1,4096,16,295.878000,289.014984,-2.32
uint64_t,1,2048,64,588.624333,575.179683,-2.28
uint64_t,1,8192,8,297.613333,290.935422,-2.24
uint64_t,1,4096,32,589.652667,576.108305,-2.30
uint64_t,1,8192,16,591.596000,577.962037,-2.30
uint64_t,1,2048,128,1176.288667,1149.452926,-2.28
uint64_t,1,4096,64,1177.212333,1150.291436,-2.29
uint64_t,1,16384,8,594.944000,581.802915,-2.21
uint64_t,1,8192,32,1178.916000,1152.148680,-2.27
uint64_t,2,128,8,4.755000,4.614917,-2.95
uint64_t,2,128,16,9.344000,9.099708,-2.61
uint64_t,2,128,32,18.535667,18.071374,-2.50
uint64_t,2,128,64,36.897333,36.014597,-2.39
uint64_t,2,128,128,73.630000,71.906675,-2.34
uint64_t,2,256,8,9.396000,9.159722,-2.51
uint64_t,2,256,16,18.587667,18.129304,-2.47
uint64_t,1,16384,16,1182.969333,1155.856145,-2.29
uint64_t,2,256,32,36.951667,36.072636,-2.38
uint64_t,2,256,64,73.678667,71.959082,-2.33
uint64_t,2,512,8,18.708333,18.249331,-2.45
uint64_t,2,256,128,147.158000,143.743237,-2.32
uint64_t,2,512,16,37.094667,36.188494,-2.44
uint64_t,1,4096,128,2351.991667,2298.837923,-2.26
uint64_t,2,512,32,73.789333,72.075160,-2.32
uint64_t,2,1024,8,37.294333,36.428549,-2.32
uint64_t,2,512,64,147.263000,143.848051,-2.32
uint64_t,2,1024,16,74.053333,72.306876,-2.36
uint64_t,2,512,128,294.137667,287.416362,-2.29
uint64_t,2,1024,32,147.478000,144.080206,-2.30
uint64_t,1,8192,64,2354.452333,2300.514942,-2.29
uint64_t,2,2048,8,74.489667,72.786986,-2.29
uint64_t,2,1024,64,294.411000,287.625989,-2.30
uint64_t,2,2048,16,147.995667,144.543640,-2.33
uint64_t,2,2048,32,294.831000,288.090300,-2.29
uint64_t,2,1024,128,588.151667,574.762611,-2.28
uint64_t,1,16384,32,2357.625333,2304.229429,-2.26
uint64_t,2,4096,8,148.861667,145.503859,-2.26
uint64_t,2,2048,64,588.617333,575.181866,-2.28
uint64_t,2,4096,16,295.836000,289.017166,-2.30
uint64_t,2,4096,32,589.631667,576.110488,-2.29
uint64_t,2,8192,8,297.582667,290.937605,-2.23
uint64_t,2,2048,128,1176.335333,1149.455109,-2.29
uint64_t,2,8192,16,591.630000,577.964220,-2.31
uint64_t,2,4096,64,1177.079000,1150.293619,-2.28
uint64_t,1,8192,128,4704.919000,4597.607916,-2.28
uint64_t,2,8192,32,1179.185333,1152.150862,-2.29
uint64_t,2,16384,8,595.168333,581.805098,-2.25
uint64_t,1,16384,64,4708.203667,4600.961955,-2.28
uint64_t,2,4096,128,2352.291000,2298.840106,-2.27
uint64_t,4,128,8,4.758333,4.616805,-2.97
uint64_t,4,128,16,9.348000,9.101434,-2.64
uint64_t,4,128,32,18.536000,18.073263,-2.50
uint64_t,4,128,64,36.904667,36.016323,-2.41
uint64_t,2,16384,16,1183.185000,1155.858328,-2.31
uint64_t,4,256,8,9.418333,9.161735,-2.72
uint64_t,4,128,128,73.647333,71.908987,-2.36
uint64_t,4,256,16,18.594000,18.131029,-2.49
uint64_t,4,256,32,36.965667,36.074653,-2.41
uint64_t,4,256,64,73.686333,71.960808,-2.34
uint64_t,2,8192,64,2354.109000,2300.517125,-2.28
uint64_t,4,512,8,18.717333,18.251595,-2.49
uint64_t,4,512,16,37.082333,36.190220,-2.41
uint64_t,4,256,128,147.125000,143.745701,-2.30
uint64_t,4,512,32,73.804000,72.077432,-2.34
uint64_t,4,1024,8,37.307333,36.431315,-2.35
uint64_t,4,512,64,147.265333,143.849777,-2.32
uint64_t,4,1024,16,74.043000,72.308602,-2.34
uint64_t,4,512,128,294.141000,287.419130,-2.29
uint64_t,4,1024,32,147.502333,144.082991,-2.32
uint64_t,4,2048,8,74.493000,72.790754,-2.29
uint64_t,4,1024,64,294.397000,287.627715,-2.30
uint64_t,4,2048,16,147.971333,144.545365,-2.32
uint64_t,2,16384,32,2357.865333,2304.231612,-2.27
uint64_t,4,1024,128,588.177333,574.765987,-2.28
uint64_t,4,2048,32,294.839333,288.094109,-2.29
uint64_t,4,4096,8,148.875000,145.509632,-2.26
uint64_t,4,4096,16,295.820333,289.018892,-2.30
uint64_t,4,2048,64,588.641000,575.183592,-2.29
uint64_t,4,4096,32,589.597667,576.116344,-2.29
uint64_t,4,2048,128,1176.321333,1149.459700,-2.28
uint64_t,4,8192,8,297.618667,290.947389,-2.24
