operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,32,32,256,32,147.555333,138.857563,-5.89
MATMUL,uint32_t,1,32,64,16,4,23.975333,22.510025,-6.11
MATMUL,uint32_t,1,32,64,16,8,20.482000,19.210166,-6.21
MATMUL,uint32_t,1,32,64,16,16,19.048333,17.965238,-5.69
MATMUL,uint32_t,1,32,64,32,4,47.895667,44.940964,-6.17
MATMUL,uint32_t,1,32,64,32,16,38.053333,35.851392,-5.79
MATMUL,uint32_t,1,32,64,32,8,40.906000,38.341248,-6.27
MATMUL,uint32_t,1,32,64,32,32,36.812000,34.628032,-5.93
MATMUL,uint32_t,1,32,32,512,16,305.374000,287.767497,-5.77
MATMUL,uint32_t,1,32,32,512,32,295.038333,277.636041,-5.90
MATMUL,uint32_t,1,32,32,512,8,328.968333,308.359844,-6.26
MATMUL,uint32_t,1,32,64,64,4,95.786667,89.802843,-6.25
MATMUL,uint32_t,1,32,32,512,4,385.140000,362.523593,-5.87
MATMUL,uint32_t,1,32,64,64,16,76.004333,71.623698,-5.76
MATMUL,uint32_t,1,32,64,64,8,81.737667,76.603410,-6.28
MATMUL,uint32_t,1,32,64,64,32,73.520000,69.176978,-5.91
MATMUL,uint32_t,1,32,64,64,64,72.380333,68.059821,-5.97
MATMUL,uint32_t,1,32,64,128,8,163.398333,153.127734,-6.29
MATMUL,uint32_t,1,32,64,128,4,191.446000,179.526601,-6.23
MATMUL,uint32_t,1,32,64,128,16,151.951667,143.168310,-5.78
MATMUL,uint32_t,1,32,64,128,32,146.992000,138.274870,-5.93
MATMUL,uint32_t,1,32,64,128,64,144.687667,136.040557,-5.98
MATMUL,uint32_t,1,32,64,256,8,326.714000,306.176384,-6.29
MATMUL,uint32_t,1,32,64,256,16,303.775000,286.257536,-5.77
MATMUL,uint32_t,1,32,64,256,4,382.244333,358.974116,-6.09
MATMUL,uint32_t,1,32,64,256,32,293.926667,276.470656,-5.94
MATMUL,uint32_t,1,32,64,256,64,289.297000,272.002029,-5.98
MATMUL,uint32_t,1,32,128,16,4,47.626333,44.719122,-6.10
MATMUL,uint32_t,1,32,128,16,8,40.760667,38.204781,-6.27
MATMUL,uint32_t,1,32,128,16,16,37.941333,35.757019,-5.76
MATMUL,uint32_t,1,32,128,32,4,95.185333,89.359158,-6.12
MATMUL,uint32_t,1,32,128,32,8,81.476333,76.330477,-6.32
MATMUL,uint32_t,1,32,128,32,16,75.794667,71.434953,-5.75
MATMUL,uint32_t,1,32,128,32,32,73.369000,69.031305,-5.91
MATMUL,uint32_t,1,32,64,512,16,607.444333,572.435986,-5.76
MATMUL,uint32_t,1,32,64,512,8,653.348000,612.273682,-6.29
MATMUL,uint32_t,1,32,128,64,8,162.876333,152.581869,-6.32
MATMUL,uint32_t,1,32,128,64,4,190.369667,178.639232,-6.16
MATMUL,uint32_t,1,32,64,512,4,764.722333,717.869147,-6.13
MATMUL,uint32_t,1,32,64,512,32,587.701667,552.862226,-5.93
MATMUL,uint32_t,1,32,128,64,16,151.554667,142.790820,-5.78
MATMUL,uint32_t,1,32,64,512,64,578.506333,543.924973,-5.98
MATMUL,uint32_t,1,32,128,64,32,146.701667,137.983524,-5.94
MATMUL,uint32_t,1,32,128,64,64,144.443333,135.792118,-5.99
