data_type,thread,iteration,buffer_size,latency,correct
uint32_t,4,8192,8,21.378667,True
uint32_t,4,4096,64,52.687,True
uint32_t,4,2048,256,99.149667,True
uint32_t,2,16384,128,404.462667,True
uint32_t,4,8192,16,33.074,True
uint32_t,4,8192,32,57.642333,True
uint32_t,4,4096,128,101.242,True
uint32_t,4,8192,256,NA,False
uint32_t,4,16384,8,42.713667,True
uint32_t,4,16384,16,66.037667,True
uint32_t,4,16384,128,NA,False
uint32_t,4,8192,64,105.342333,True
uint32_t,8,256,8,0.928,True
uint32_t,8,256,16,1.187333,True
uint32_t,8,256,32,1.958333,True
uint32_t,4,16384,256,NA,False
uint32_t,4,4096,256,198.255333,True
uint32_t,8,256,64,3.373,True
uint32_t,8,256,128,6.442,True
uint32_t,8,512,8,1.824667,True
uint32_t,8,512,16,2.309667,True
uint32_t,4,16384,32,114.965333,True
uint32_t,8,512,32,3.838667,True
uint32_t,8,256,256,12.499333,True
uint32_t,8,512,64,6.673,True
uint32_t,8,1024,8,3.568333,True
uint32_t,8,512,128,12.761,True
uint32_t,8,1024,16,4.567,True
uint32_t,8,1024,32,7.625333,True
uint32_t,4,8192,128,202.371667,True
uint32_t,8,512,256,24.891667,True
uint32_t,8,1024,64,13.268667,True
uint32_t,8,2048,8,7.085667,True
uint32_t,8,2048,16,9.063,True
uint32_t,8,2048,32,15.204,True
uint32_t,8,1024,128,25.418,True
uint32_t,4,16384,64,210.563333,True
uint32_t,8,4096,8,14.123,True
uint32_t,8,2048,64,26.476333,True
uint32_t,8,1024,256,49.656,True
uint32_t,8,4096,16,18.069333,True
uint32_t,8,4096,32,30.339667,True
uint32_t,8,2048,128,50.752,True
uint32_t,8,4096,256,NA,False
uint32_t,8,8192,8,28.183,True
uint32_t,8,4096,64,52.885333,True
uint32_t,8,8192,16,36.070333,True
uint32_t,8,8192,128,NA,False
uint32_t,8,2048,256,99.229,True
uint32_t,8,8192,256,NA,False
uint32_t,8,8192,32,60.569,True
uint32_t,8,16384,8,56.256333,True
uint32_t,8,16384,64,NA,False
uint32_t,8,16384,256,NA,False
uint32_t,8,4096,128,101.396333,True
uint32_t,16,256,8,1.77,True
uint32_t,16,256,16,2.168333,True
uint32_t,8,16384,16,72.092333,True
uint32_t,16,256,32,2.956667,True
uint32_t,16,256,64,4.644,True
uint32_t,8,16384,128,NA,False
uint32_t,16,256,128,8.618,True
uint32_t,8,8192,64,105.692667,True
uint32_t,16,512,8,3.457667,True
uint32_t,16,512,16,4.264333,True
uint32_t,16,512,32,5.824667,True
uint32_t,16,512,64,9.133667,True
uint32_t,16,1024,8,6.858333,True
uint32_t,16,256,256,16.895333,True
uint32_t,16,1024,16,8.454667,True
uint32_t,8,16384,32,121.173,True
uint32_t,16,1024,32,11.543667,True
uint32_t,16,512,128,17.143333,True
uint32_t,16,2048,8,13.613333,True
